#,Name,B,Team,ESPN,Y!,Date,GT,$,Opp,Pitcher,%St,LU,PA,AB,H,R,HR,RBI,SB,BB,SO,AVG,OBP,SLG,OPS,R%
94,Danny Jansen,R,TOR,C,C,4/11,7,6.1,DET,MManning(R),65,Lst7,3.7,3.3,0.8,0.48,0.19,0.48,0.02,0.29,0.64,0.239,0.306,0.461,0.767,98
95,Brad Miller,L,TEX,3B/OF,3B/OF,4/11,8,6.0,KC,JLyles(R),56,Lst7,3.5,3.1,0.8,0.47,0.15,0.45,0.06,0.28,0.81,0.246,0.310,0.451,0.761,0
96,Alex Bregman,R,HOU,3B,3B,4/11,6,6.0,@PIT,MKeller(R),96,Lst7,4.6,3.9,1.0,0.62,0.10,0.47,0.02,0.56,0.58,0.249,0.352,0.399,0.751,100
97,Jose Abreu,R,HOU,1B,1B,4/11,6,5.4,@PIT,MKeller(R),96,Lst7,4.4,3.9,1.1,0.49,0.09,0.55,0.01,0.33,0.79,0.269,0.337,0.400,0.737,100
98,Xander Bogaerts,R,SD,SS,SS,4/11,7,5.3,@NYM,DPeterson(L),96,Lst7,4.6,4.1,1.0,0.59,0.13,0.42,0.03,0.45,0.97,0.248,0.327,0.394,0.721,100
99,Andrew Benintendi,L,CHW,OF,OF,4/11,7,4.9,@MIN,PLopez(R),97,Lst7,4.4,4.0,1.0,0.48,0.10,0.45,0.06,0.31,0.84,0.260,0.317,0.397,0.714,99
100,Trey Mancini,R,CHC,1B/OF,1B/OF,4/11,7,4.8,SEA,CFlexen(R),85,Lst7,3.9,3.5,0.9,0.46,0.14,0.52,0.00,0.27,0.77,0.255,0.313,0.426,0.739,96
101,Oswaldo Cabrera,S,NYY,OF,SS/OF,4/11,6,4.8,@CLE,HGaddis(R),75,Lst7,4.1,3.7,0.8,0.44,0.16,0.47,0.11,0.26,1.11,0.217,0.272,0.409,0.681,82
102,Kerry Carpenter,L,DET,OF,OF,4/11,7,4.8,@TOR,AManoah(R),79,Lst7,4.1,3.8,0.9,0.44,0.19,0.52,0.03,0.23,1.04,0.230,0.287,0.443,0.730,7
103,Brandon Nimmo,L,NYM,OF,OF,4/11,7,4.7,SD,RWeathers(L),60,Lst7,4.3,3.7,0.9,0.63,0.10,0.38,0.03,0.51,0.69,0.255,0.356,0.391,0.747,100
